"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://tumbleweedwords.com/","text/html; charset=utf-8","200","OK","Indexable","","Tumbleweed Words — Flash Fiction Written From the Road | David","62","582","Flash fiction and poetry written from the road. Fiction & Poetry · Craft & Theory · Must Reads · Book Reviews · Essays & Culture · Postcards. Pushcart-shortlisted. Free weekly newsletter.","187","1166","literary newsletter, flash fiction, nomadic writing, minimalist fiction, dirty realism, short stories, prose poetry, Substack","125","Tumbleweed Words is a literary hub with a weekly newsletter of original fiction and poetry, written from the road — free to read.","129","Stories that land in your inbox, they’re from all over the place.","65","Latest from the road","20","max-image-preview:large","","","https://tumbleweedwords.com/","","","","","","64521","15173","15173","5.812","","651","135","4.822","84.592","Easy","6.191","0","0","","159","101","0","98.060","45","16","0","24","12","0","","","","","c69ac3ab99b48c23d0e214e6d4bf27b4","0.016","Wed, 01 Apr 2026 19:46:02 GMT","","","","en","1.1","","","","","","https://tumbleweedwords.com/","2026-04-02 06:54:40"
"https://tumbleweedwords.com/hamburger.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","523","523","523","0.200","","0","","","","","0.000","1","0","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.107","Wed, 01 Apr 2026 19:46:02 GMT","","","","","1.1","","","","","","https://tumbleweedwords.com/hamburger.js","2026-04-02 06:54:42"
"https://tumbleweedwords.com/tumbleweed-logo.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","7224","7224","7224","2.767","","0","","","","","0.000","1","0","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.157","Wed, 01 Apr 2026 19:46:02 GMT","","","","","1.1","","","","","","https://tumbleweedwords.com/tumbleweed-logo.webp","2026-04-02 06:54:42"
"https://tumbleweedwords.com/street-legal.html","text/html; charset=utf-8","200","OK","Indexable","","Street Legal — Flash Fiction Set in Berlin | Tumbleweed Words","61","544","A piece of flash fiction set on the Berlin U-Bahn in winter. A punk on a platform, a toothless man, The Clash playing in someone's ears. Minimalist fiction by David — Tumbleweed Words.","184","1162","","0","Street Legal","12","One piece of flash fiction or poetry. Free, every week.","55","One piece of flash fiction or poetry. Free, every week.","55","max-image-preview:large","","","https://tumbleweedwords.com/street-legal.html","","","","","","28721","8634","8634","3.308","","528","82","6.439","93.908","Very Easy","11.044","1","0","","40","39","0","37.860","28","10","0","5","4","0","","","","","7307e2a78c7c382331434c991d76e133","0.170","Wed, 01 Apr 2026 19:46:02 GMT","","","","en","1.1","","","","","","https://tumbleweedwords.com/street-legal.html","2026-04-02 06:54:42"
"https://tumbleweedwords.com/all-writing.html","text/html; charset=utf-8","200","OK","Indexable","","Fiction & Poetry — Essays, Reviews, Tools & Fiction | Tumbleweed Words","70","641","Craft essays, book reviews, literary tools, flash fiction by city and theme, interviews and culture. 80+ pages of free reading for writers and word lovers.","155","943","flash fiction craft, literary essays, writing tools, dirty realism, minimalist fiction, literary magazine finder, flash fiction prompts, iceberg theory, Raymond Carver, Ernest Hemingway, poetry 2026","198","Original Fiction and Poetry","27","Stories written on the road Sent to your inbox","46","One piece of flash fiction or poetry. Free, every week.","55","max-image-preview:large","","","https://tumbleweedwords.com/all-writing.html","","","","","","50211","12758","12758","4.887","","633","129","4.907","87.852","Easy","7.778","1","0","","290","103","0","100.000","42","21","0","18","12","0","","","","","7985e299819d5dd8407c36fb52088d0b","0.168","Wed, 01 Apr 2026 19:46:02 GMT","","","","en","1.1","","","","","","https://tumbleweedwords.com/all-writing.html","2026-04-02 06:54:42"
"https://tumbleweedwords.com/scotland-coast.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","145440","145440","145440","55.715","","0","","","","","0.000","1","0","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.099","Wed, 01 Apr 2026 19:46:02 GMT","","","","","1.1","","","","","","https://tumbleweedwords.com/scotland-coast.webp","2026-04-02 06:54:43"
"https://tumbleweedwords.com/podcasts.html","text/html; charset=utf-8","200","OK","Indexable","","10 Best Literary & Culture Podcasts in 2026 | Tumbleweed Words","62","573","The 10 literary and culture podcasts worth listening to in 2026. Storytelling, fiction, poetry, interviews and culture — handpicked by Tumbleweed Words.","152","953","best literary podcasts, culture podcasts 2026, storytelling podcasts, book podcasts, poetry podcasts, This American Life, Dua Lipa At Your Service, LARB Radio Hour, Backlisted podcast","183","10 literary and culture podcasts worth your time","48","Stories written on the road Sent to your inbox","46","One piece of flash fiction or poetry. Free, every week.","55","max-image-preview:large","","","https://tumbleweedwords.com/podcasts.html","","","","","","34406","9888","9888","3.788","","731","154","4.747","78.531","Fairly Easy","13.633","1","0","","9","9","0","8.740","22","9","0","18","14","0","","","","","57924d7f49e29d3acc77f38b434f37f2","0.105","Wed, 01 Apr 2026 19:46:02 GMT","","","","en","1.1","","","","","","https://tumbleweedwords.com/podcasts.html","2026-04-02 06:54:43"
"https://tumbleweedwords.com/card-london.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","41112","41112","41112","15.749","","0","","","","","0.000","1","0","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.106","Wed, 01 Apr 2026 19:46:02 GMT","","","","","1.1","","","","","","https://tumbleweedwords.com/card-london.webp","2026-04-02 06:54:43"
"https://tumbleweedwords.com/reads.html","text/html; charset=utf-8","200","OK","Indexable","","Must Reads — Book Reviews, Reading Lists & Literary Culture | Tumbleweed Words","78","729","Book reviews, reading lists and literary culture. The best flash fiction collections, what to read next, and what's happening in literary fiction in 2026.","154","922","flash fiction book reviews, best flash fiction collections, literary reading lists, books like Raymond Carver, literary culture 2026, what to read flash fiction","160","Must Reads","10","A slice of flash or poetry Sent from everywhere","47","One piece of flash fiction or poetry. Free, every week.","55","max-image-preview:large","","","https://tumbleweedwords.com/reads.html","","","","","","50716","12500","12500","4.789","","987","186","5.306","88.906","Easy","11.904","1","0","","255","103","0","100.000","68","37","0","7","6","0","","","","","758e9d86513fc8cd9b448ad0869e5d3","0.142","Wed, 01 Apr 2026 19:46:02 GMT","","","","en","1.1","","","","","","https://tumbleweedwords.com/reads.html","2026-04-02 06:54:43"
"https://tumbleweedwords.com/indiscretion-poem.html","text/html; charset=utf-8","200","OK","Indexable","","mature indiscretions — Poem | Tumbleweed Words","46","450","A poem about growing up and the presence of memory, set in Fife, Scotland. Poetry by David — Tumbleweed Words.","110","736","","0","mature indiscretions","20","One piece of flash fiction or poetry. Free, every week.","55","One piece of flash fiction or poetry. Free, every week.","55","max-image-preview:large","","","https://tumbleweedwords.com/indiscretion-poem.html","","","","","","23361","7114","7114","2.725","","315","64","4.922","89.845","Easy","9.156","1","0","","3","3","0","2.910","29","11","0","5","4","0","","","","","95313ec58230bbb66dea2d37a3163e95","0.157","Wed, 01 Apr 2026 19:46:02 GMT","","","","en","1.1","","","","","","https://tumbleweedwords.com/indiscretion-poem.html","2026-04-02 06:54:43"
